date;month;year;service;type_paiment;affluence;num_month
13/1/2022;Enero;2022;Expreso;Prepago;6308;1
13/1/2022;Enero;2022;Expreso;Gratuidad;13837;1
13/1/2022;Enero;2022;Nochebús;Boleto;684;1
13/1/2022;Enero;2022;Nochebús;Prepago;40;1
13/1/2022;Enero;2022;Nochebús;Gratuidad;54;1
13/1/2022;Enero;2022;Ordinario;Boleto;72083;1
13/1/2022;Enero;2022;Ordinario;Prepago;1715;1
13/1/2022;Enero;2022;Ordinario;Gratuidad;12498;1
13/1/2022;Enero;2022;S/Metro;Boleto;41973;1
13/1/2022;Enero;2022;S/Metro;Prepago;1535;1
13/1/2022;Enero;2022;S/Metro;Gratuidad;7274;1
14/1/2022;Enero;2022;Servicios Temporales;Boleto;2284;1
14/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
14/1/2022;Enero;2022;Servicios Temporales;Gratuidad;395;1
14/1/2022;Enero;2022;Atenea;Boleto;15445;1
14/1/2022;Enero;2022;Atenea;Prepago;0;1
14/1/2022;Enero;2022;Atenea;Gratuidad;2670;1
14/1/2022;Enero;2022;Ecoatenea;Boleto;2337;1
14/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
14/1/2022;Enero;2022;Ecoatenea;Gratuidad;404;1
14/1/2022;Enero;2022;Ecobús;Boleto;23600;1
14/1/2022;Enero;2022;Ecobús;Prepago;1810;1
14/1/2022;Enero;2022;Ecobús;Gratuidad;4107;1
14/1/2022;Enero;2022;Expdirecto;Boleto;1582;1
14/1/2022;Enero;2022;Expdirecto;Prepago;202;1
14/1/2022;Enero;2022;Expdirecto;Gratuidad;278;1
14/1/2022;Enero;2022;Expreso;Boleto;83152;1
14/1/2022;Enero;2022;Expreso;Prepago;6291;1
14/1/2022;Enero;2022;Expreso;Gratuidad;14443;1
14/1/2022;Enero;2022;Nochebús;Boleto;796;1
14/1/2022;Enero;2022;Nochebús;Prepago;48;1
14/1/2022;Enero;2022;Nochebús;Gratuidad;64;1
14/1/2022;Enero;2022;Ordinario;Boleto;69496;1
14/1/2022;Enero;2022;Ordinario;Prepago;1614;1
14/1/2022;Enero;2022;Ordinario;Gratuidad;12037;1
14/1/2022;Enero;2022;S/Metro;Boleto;40270;1
14/1/2022;Enero;2022;S/Metro;Prepago;1178;1
14/1/2022;Enero;2022;S/Metro;Gratuidad;6970;1
15/1/2022;Enero;2022;Servicios Temporales;Boleto;1691;1
15/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
15/1/2022;Enero;2022;Servicios Temporales;Gratuidad;292;1
15/1/2022;Enero;2022;Atenea;Boleto;6804;1
15/1/2022;Enero;2022;Atenea;Prepago;0;1
15/1/2022;Enero;2022;Atenea;Gratuidad;1176;1
15/1/2022;Enero;2022;Ecoatenea;Boleto;0;1
15/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
15/1/2022;Enero;2022;Ecoatenea;Gratuidad;0;1
15/1/2022;Enero;2022;Ecobús;Boleto;17062;1
15/1/2022;Enero;2022;Ecobús;Prepago;934;1
15/1/2022;Enero;2022;Ecobús;Gratuidad;2978;1
15/1/2022;Enero;2022;Expdirecto;Boleto;430;1
15/1/2022;Enero;2022;Expdirecto;Prepago;25;1
15/1/2022;Enero;2022;Expdirecto;Gratuidad;74;1
15/1/2022;Enero;2022;Expreso;Boleto;50939;1
15/1/2022;Enero;2022;Expreso;Prepago;3448;1
15/1/2022;Enero;2022;Expreso;Gratuidad;8839;1
15/1/2022;Enero;2022;Nochebús;Boleto;950;1
15/1/2022;Enero;2022;Nochebús;Prepago;24;1
15/1/2022;Enero;2022;Nochebús;Gratuidad;73;1
15/1/2022;Enero;2022;Ordinario;Boleto;46214;1
15/1/2022;Enero;2022;Ordinario;Prepago;1054;1
15/1/2022;Enero;2022;Ordinario;Gratuidad;8004;1
15/1/2022;Enero;2022;S/Metro;Boleto;32585;1
15/1/2022;Enero;2022;S/Metro;Prepago;972;1
15/1/2022;Enero;2022;S/Metro;Gratuidad;5641;1
16/1/2022;Enero;2022;Servicios Temporales;Boleto;596;1
16/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
16/1/2022;Enero;2022;Servicios Temporales;Gratuidad;103;1
16/1/2022;Enero;2022;Atenea;Boleto;3267;1
16/1/2022;Enero;2022;Atenea;Prepago;0;1
16/1/2022;Enero;2022;Atenea;Gratuidad;565;1
16/1/2022;Enero;2022;Ecoatenea;Boleto;0;1
16/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
16/1/2022;Enero;2022;Ecoatenea;Gratuidad;0;1
16/1/2022;Enero;2022;Ecobús;Boleto;10414;1
16/1/2022;Enero;2022;Ecobús;Prepago;471;1
16/1/2022;Enero;2022;Ecobús;Gratuidad;1816;1
16/1/2022;Enero;2022;Expdirecto;Boleto;0;1
16/1/2022;Enero;2022;Expdirecto;Prepago;0;1
16/1/2022;Enero;2022;Expdirecto;Gratuidad;0;1
16/1/2022;Enero;2022;Expreso;Boleto;37386;1
16/1/2022;Enero;2022;Expreso;Prepago;2281;1
16/1/2022;Enero;2022;Expreso;Gratuidad;6476;1
16/1/2022;Enero;2022;Nochebús;Boleto;908;1
16/1/2022;Enero;2022;Nochebús;Prepago;32;1
16/1/2022;Enero;2022;Nochebús;Gratuidad;69;1
16/1/2022;Enero;2022;Ordinario;Boleto;30913;1
16/1/2022;Enero;2022;Ordinario;Prepago;559;1
16/1/2022;Enero;2022;Ordinario;Gratuidad;5349;1
16/1/2022;Enero;2022;S/Metro;Boleto;21191;1
16/1/2022;Enero;2022;S/Metro;Prepago;782;1
16/1/2022;Enero;2022;S/Metro;Gratuidad;3669;1
17/1/2022;Enero;2022;Servicios Temporales;Boleto;2979;1
17/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
17/1/2022;Enero;2022;Servicios Temporales;Gratuidad;515;1
17/1/2022;Enero;2022;Atenea;Boleto;16156;1
17/1/2022;Enero;2022;Atenea;Prepago;0;1
17/1/2022;Enero;2022;Atenea;Gratuidad;2793;1
17/1/2022;Enero;2022;Ecoatenea;Boleto;2013;1
17/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
17/1/2022;Enero;2022;Ecoatenea;Gratuidad;348;1
17/1/2022;Enero;2022;Ecobús;Boleto;23250;1
17/1/2022;Enero;2022;Ecobús;Prepago;1745;1
17/1/2022;Enero;2022;Ecobús;Gratuidad;4034;1
17/1/2022;Enero;2022;Expdirecto;Boleto;1606;1
17/1/2022;Enero;2022;Expdirecto;Prepago;237;1
17/1/2022;Enero;2022;Expdirecto;Gratuidad;283;1
17/1/2022;Enero;2022;Expreso;Boleto;76894;1
17/1/2022;Enero;2022;Expreso;Prepago;6083;1
17/1/2022;Enero;2022;Expreso;Gratuidad;13364;1
17/1/2022;Enero;2022;Nochebús;Boleto;576;1
17/1/2022;Enero;2022;Nochebús;Prepago;46;1
17/1/2022;Enero;2022;Nochebús;Gratuidad;45;1
